express ID,speckle_type,.Height,.Width,.NetArea,.RoughWidth,.SillHeight
1113071,IFCWINDOW,2180,2180,"9,93456",2200,220
1117159,IFCWINDOW,2180,2180,"9,93456",2200,220
1117277,IFCWINDOW,2180,2180,"9,93456",2200,220
1117395,IFCWINDOW,2180,2180,"9,93456",2200,220
1642563,IFCWINDOW,1180,580,"1,53336",600,1000
1654174,IFCWINDOW,1010,1010,"0,691675",,1140
1654324,IFCWINDOW,1010,1010,"0,836125",,1140
18625,IFCWINDOW,1010,1010,"0,836125",,1140
18813,IFCWINDOW,1010,1010,"0,836125",,1140
18990,IFCWINDOW,1010,1010,"0,836125",,1140
19126,IFCWINDOW,1010,1010,"0,836125",,1140
19231,IFCWINDOW,1010,1010,"0,836125",,1140
19336,IFCWINDOW,1010,1010,"0,836125",,1140
19441,IFCWINDOW,1010,1010,"0,836125",,1140
19781,IFCWINDOW,1010,1010,"0,836125",,1140
19886,IFCWINDOW,1010,1010,"0,836125",,1140
19991,IFCWINDOW,1010,1010,"0,836125",,1140
20096,IFCWINDOW,1010,1010,"0,836125",,1140
566731,IFCWINDOW,2180,2180,"9,93456",2200,220
